wavelength,wave_fit
453.787,False
454.882,False
455.977,False
457.072,False
458.167,False
459.263,False
460.358,False
461.453,False
462.549,False
463.644,False
464.74,False
465.835,False
466.931,False
468.027,False
469.123,False
470.219,False
471.315,False
472.411,False
473.507,False
474.603,False
475.699,False
476.795,False
477.892,False
478.988,False
480.084,False
481.181,False
482.277,False
483.374,False
484.47,False
485.567,False
486.663,False
487.76,False
488.857,False
489.954,False
491.05,False
492.147,False
493.244,False
494.341,False
495.438,False
496.535,False
497.632,False
498.729,False
499.825,False
500.922,False
502.019,False
503.117,False
504.214,False
505.311,False
506.408,False
507.505,False
508.602,False
509.699,False
510.796,False
511.893,False
512.99,False
514.087,False
515.184,False
516.281,False
517.378,False
518.475,False
519.573,False
520.67,False
521.767,False
522.864,False
523.961,False
525.058,False
526.155,False
527.252,False
528.348,False
529.445,False
530.542,False
531.639,False
532.736,False
533.833,False
534.929,False
536.026,False
537.123,False
538.22,False
539.316,False
540.413,False
541.509,False
542.606,False
543.702,False
544.799,False
545.895,False
546.991,False
548.088,False
549.184,False
550.28,False
551.376,False
552.472,False
553.568,False
554.664,False
555.76,False
556.856,False
557.952,False
559.047,False
560.143,False
561.239,False
562.334,False
563.43,False
564.525,False
565.62,False
566.715,False
567.811,False
568.906,False
570.001,False
571.095,False
572.19,False
573.285,False
574.38,False
575.474,False
576.569,False
577.663,False
578.757,False
579.851,False
580.945,False
582.039,False
583.133,False
584.227,False
585.321,False
586.414,False
587.508,False
588.601,False
589.694,False
590.787,False
591.881,False
592.973,False
594.066,False
595.159,False
596.251,False
597.344,False
598.436,False
599.528,False
600.621,True
601.713,True
602.804,True
603.896,True
604.988,True
606.079,True
607.17,True
608.262,True
609.353,True
610.443,True
611.534,True
612.625,True
613.715,True
614.806,True
615.896,True
616.986,True
618.076,True
619.165,True
620.255,True
621.344,True
622.434,True
623.523,True
624.612,True
625.701,True
626.789,True
627.878,True
628.966,True
630.054,True
631.142,True
632.23,True
633.318,True
634.405,True
635.492,True
636.579,True
637.666,True
638.753,True
639.84,True
640.926,True
642.012,True
643.098,True
644.184,True
645.27,True
646.355,True
647.441,True
648.526,True
649.611,True
650.695,True
651.78,True
652.864,True
653.948,True
655.032,True
656.116,True
657.199,True
658.283,True
659.366,True
660.448,True
661.531,True
662.614,True
663.696,True
664.778,True
665.86,True
666.941,True
668.023,True
669.104,True
670.185,True
671.265,True
672.346,True
673.426,True
674.506,True
675.586,True
676.665,True
677.745,True
678.824,True
679.903,True
680.981,True
682.059,True
683.138,True
684.215,True
685.293,True
686.37,True
687.448,True
688.524,True
689.601,True
690.678,True
691.754,True
692.83,True
693.905,True
694.98,True
696.056,True
697.13,True
698.205,True
699.279,True
700.353,True
701.427,True
702.501,True
703.574,True
704.647,True
705.719,True
706.792,True
707.864,True
708.936,True
710.007,True
711.079,True
712.15,True
713.221,True
714.291,True
715.361,True
716.431,True
717.501,True
718.57,True
719.639,True
720.707,True
721.776,True
722.844,True
723.912,True
724.979,True
726.046,True
727.113,True
728.18,True
729.246,True
730.312,True
731.378,True
732.443,True
733.508,True
734.573,True
735.637,True
736.701,True
737.765,True
738.829,True
739.892,True
740.955,True
742.017,True
743.079,True
744.141,True
745.202,True
746.264,True
747.324,True
748.385,True
749.445,True
750.505,True
751.564,True
752.623,True
753.682,True
754.741,True
755.799,True
756.857,True
757.914,True
758.971,True
760.028,True
761.084,True
762.14,True
763.196,True
764.251,True
765.306,True
766.36,True
767.415,True
768.468,True
769.522,True
770.575,True
771.628,True
772.68,True
773.732,True
774.784,True
775.835,True
776.886,True
777.936,True
778.986,True
780.036,True
781.086,True
782.135,True
783.183,True
784.231,True
785.279,True
786.327,True
787.374,True
788.42,True
789.466,True
790.512,True
791.558,True
792.603,True
793.648,True
794.692,True
795.736,True
796.779,True
797.822,True
798.865,True
799.907,True
800.949,True
801.99,True
803.031,True
804.072,True
805.112,True
806.152,True
807.191,True
808.23,True
809.268,True
810.307,True
811.344,True
812.381,True
813.418,True
814.454,True
815.49,True
816.526,True
817.561,True
818.596,True
819.63,True
820.664,True
821.697,True
822.73,True
823.762,True
824.794,True
825.826,True
826.857,True
827.887,True
828.918,True
829.947,True
830.977,True
832.005,True
833.034,True
834.062,True
835.089,True
836.116,True
837.143,True
838.169,True
839.194,True
840.22,True
841.244,True
842.268,True
843.292,True
844.315,True
845.338,True
846.36,True
847.382,True
848.404,True
849.425,True
850.445,True
851.465,True
852.484,True
853.503,True
854.522,True
855.54,True
856.557,True
857.574,True
858.591,True
859.607,True
860.622,True
861.637,True
862.652,True
863.666,True
864.679,True
865.692,True
866.705,True
867.717,True
868.728,True
869.739,True
870.75,True
871.76,True
872.769,True
873.778,True
874.786,True
875.794,True
876.802,True
877.809,True
878.815,True
879.821,True
880.826,True
881.831,True
882.835,True
883.839,True
884.842,True
