wavelength,emissivity
200,0.65
300,0.64
400,0.63
500,0.6
550,0.61
600,0.66
650,0.68
700,0.68
800,0.69
900,0.69
950,0.66
1000,0.65
1050,0.605
1100,0.59
1200,0.59
1300,0.515
1400,0.51
1450,0.5
1500,0.47
1600,0.46
1700,0.43
1800,0.4
1900,0.37
2000,0.35
2100,0.33
2200,0.32
2300,0.31
2400,0.305
2500,0.3
2600,0.3
2700,0.3
2800,0.3
2900,0.29
3000,0.29
3100,0.28
3200,0.27
3300,0.26
3400,0.255
3500,0.25
3600,0.245
3700,0.24
3800,0.24
3900,0.24
4000,0.24
4100,0.24
4200,0.235
4300,0.235
4400,0.235
4500,0.23
4600,0.23
4700,0.23
4800,0.23
4900,0.23
5000,0.23
