wavelength,B,G,R,M
350,2,2,5,9
360,2,2,6,10
370,2,2,7,11
380,8,2,10,20
390,15,2,10,27
400,20,3,9,32
410,23,3,7,33
420,26,3,6,35
430,30,3,5,38
440,39,4,3,46
450,43,5,2,50
460,43,7,2,52
470,43,10,2,55
480,39,16,2,57
490,36,22,2,60
500,32,27,2,61
510,31,31,3,62
520,27,37,4,62
530,20,42,5,62
540,15,47,4,60
550,10,45,2,60
560,7,43,3,62
570,4,37,10,57
580,3,30,20,59
590,2,25,41,61
600,2,12,39,62
610,2,10,42,61
620,2,7,47,57
630,3,5,43,60
640,4,3,47,57
650,5,2,46,53
660,6,3,41,54
670,7,4,43,51
680,7,6,39,52
690,7,8,33,53
700,7,10,32,50
710,6,11,33,43
720,5,10,35,42
730,4,10,30,42
740,3,12,27,40
750,3,14,31,33
760,3,14,27,35
770,4,15,25,30
780,6,15,23,28
790,10,16,24,26
800,13,16,24,24
810,15,15,22,24
820,17,15,20,22
830,19,16,18,20
840,17,17,17,20
850,15,14,17,19
860,14,13,14,17
870,13,13,11,15
880,12,12,10,12
890,11,12,10,11
900,11,11,10,11
910,10,10,10,11
920,9,9,9,10
930,7,7,8,9
940,7,7,7,8
950,6,6,6,7
960,5,5,5,5
970,4,4,4,4
980,3,3,3,3
990,2,2,2,2
1000,2,2,2,2
1010,2,2,2,2
1020,2,2,2,2
1030,1,1,1,1
1040,1,1,1,1
1050,1,1,1,1
1060,1,1,1,1
1070,1,1,1,1
1080,1,1,1,1
1090,1,1,1,1
1100,1,1,1,1
1110,0,0,0,0
1120,0,0,0,0
1130,0,0,0,0
1140,0,0,0,0
1150,0,0,0,0
1160,0,0,0,0
1170,0,0,0,0
1180,0,0,0,0
1190,0,0,0,0
1200,0,0,0,0
